x,y
0.000000000000000000e+00,2.079999999999999905e-01
4.010025062656641772e-04,2.085157182150584043e-01
8.020050125313283543e-04,2.090327151093347990e-01
1.203007518796992640e-03,2.095509938532050254e-01
1.604010025062656709e-03,2.100705576249054796e-01
2.005012531328320777e-03,2.105914096105527822e-01
2.406015037593985280e-03,2.111135530041633457e-01
2.807017543859649349e-03,2.116369910076727201e-01
3.208020050125313417e-03,2.121617268309554660e-01
3.609022556390977486e-03,2.126877636918447501e-01
4.010025062656641555e-03,2.132151048161520512e-01
4.411027568922305624e-03,2.137437534376870896e-01
4.812030075187970560e-03,2.142737127982773104e-01
5.213032581453634628e-03,2.148049861477882294e-01
5.614035087719298697e-03,2.153375767441429722e-01
6.015037593984962766e-03,2.158714878533424808e-01
6.416040100250626835e-03,2.164067227494853862e-01
6.817042606516290904e-03,2.169432847147883259e-01
7.218045112781954972e-03,2.174811770396057331e-01
7.619047619047619041e-03,2.180204030224503209e-01
8.020050125313283110e-03,2.185609659700130936e-01
8.421052631578947179e-03,2.191028691971837195e-01
8.822055137844611247e-03,2.196461160270709867e-01
9.223057644110275316e-03,2.201907097910228983e-01
9.624060150375941119e-03,2.207366538286472946e-01
1.002506265664160519e-02,2.212839514878322811e-01
1.042606516290726926e-02,2.218326061247667957e-01
1.082706766917293333e-02,2.223826211039611200e-01
1.122807017543859739e-02,2.229339997982676125e-01
1.162907268170426146e-02,2.234867455889012477e-01
1.203007518796992553e-02,2.240408618654604889e-01
1.243107769423558960e-02,2.245963520259480206e-01
1.283208020050125367e-02,2.251532194767915662e-01
1.323308270676691774e-02,2.257114676328647596e-01
1.363408521303258181e-02,2.262710999175082394e-01
1.403508771929824588e-02,2.268321197625503549e-01
1.443609022556390994e-02,2.273945306083285378e-01
1.483709273182957401e-02,2.279583359037101464e-01
1.523809523809523808e-02,2.285235391061137267e-01
1.563909774436090389e-02,2.290901436815303005e-01
1.604010025062656622e-02,2.296581531045442659e-01
1.644110275689223202e-02,2.302275708583553238e-01
1.684210526315789436e-02,2.307984004347991003e-01
1.724310776942356016e-02,2.313706453343691294e-01
1.764411027568922249e-02,2.319443090662381413e-01
1.804511278195488830e-02,2.325193951482795174e-01
1.844611528822055063e-02,2.330959071070888289e-01
1.884711779448621644e-02,2.336738484780055691e-01
1.924812030075188224e-02,2.342532228051349419e-01
1.964912280701754457e-02,2.348340336413692886e-01
2.005012531328321038e-02,2.354162845484101541e-01
2.045112781954887271e-02,2.359999790967899080e-01
2.085213032581453851e-02,2.365851208658938665e-01
2.125313283208020085e-02,2.371717134439820518e-01
2.165413533834586665e-02,2.377597604282112587e-01
2.205513784461152899e-02,2.383492654246571751e-01
2.245614035087719479e-02,2.389402320483364484e-01
2.285714285714285712e-02,2.395326639232288612e-01
2.325814536340852293e-02,2.401265646822994260e-01
2.365914786967418526e-02,2.407219379675208937e-01
2.406015037593985106e-02,2.413187874298959590e-01
2.446115288220551340e-02,2.419171167294796587e-01
2.486215538847117920e-02,2.425169295354017984e-01
