x,y
0.000000000000000000e+00,2.079999999999913030e-01
4.010025062656641772e-04,2.082489670383935731e-01
8.020050125313283543e-04,2.084985283127949174e-01
1.203007518796992640e-03,2.087486859443075105e-01
1.604010025062656709e-03,2.089994420640906014e-01
2.005012531328320777e-03,2.092507988134499897e-01
2.406015037593985280e-03,2.095027583438522356e-01
2.807017543859649349e-03,2.097553228170241368e-01
3.208020050125313417e-03,2.100084944049953606e-01
3.609022556390977486e-03,2.102622752901588399e-01
4.010025062656641555e-03,2.105166676653276170e-01
4.411027568922305624e-03,2.107716737338130031e-01
4.812030075187970560e-03,2.110272957094849744e-01
5.213032581453634628e-03,2.112835358168076993e-01
5.614035087719298697e-03,2.115403962909461200e-01
6.015037593984962766e-03,2.117978793778014790e-01
6.416040100250626835e-03,2.120559873340681634e-01
6.817042606516290904e-03,2.123147224273367328e-01
7.218045112781954972e-03,2.125740869361081309e-01
7.619047619047619041e-03,2.128340831499002661e-01
8.020050125313283110e-03,2.130947133693084083e-01
8.421052631578947179e-03,2.133559799060371631e-01
8.822055137844611247e-03,2.136178850830212639e-01
9.223057644110275316e-03,2.138804312344397829e-01
9.624060150375941119e-03,2.141436207058404761e-01
1.002506265664160519e-02,2.144074558541539943e-01
1.042606516290726926e-02,2.146719390477933587e-01
1.082706766917293333e-02,2.149370726667250153e-01
1.122807017543859739e-02,2.152028591025150206e-01
1.162907268170426146e-02,2.154693007584320696e-01
1.203007518796992553e-02,2.157364000494901290e-01
1.243107769423558960e-02,2.160041594025514655e-01
1.283208020050125367e-02,2.162725812563515149e-01
1.323308270676691774e-02,2.165416680616161216e-01
1.363408521303258181e-02,2.168114222811325931e-01
1.403508771929824588e-02,2.170818463897745687e-01
1.443609022556390994e-02,2.173529428746405756e-01
1.483709273182957401e-02,2.176247142350860031e-01
1.523809523809523808e-02,2.178971629828261314e-01
1.563909774436090389e-02,2.181702916419716587e-01
1.604010025062656622e-02,2.184441027491494935e-01
1.644110275689223202e-02,2.187185988535702563e-01
1.684210526315789436e-02,2.189937825170851227e-01
1.724310776942356016e-02,2.192696563142675359e-01
1.764411027568922249e-02,2.195462228325126830e-01
1.804511278195488830e-02,2.198234846721156543e-01
