x,y
0.000000000000000000e+00,2.079999999999999905e-01
4.010025062656641772e-04,2.089333069815435262e-01
8.020050125313283543e-04,2.098673396865551599e-01
1.203007518796992640e-03,2.108020989618293040e-01
1.604010025062656709e-03,2.117375856554783164e-01
2.005012531328320777e-03,2.126738006169349160e-01
2.406015037593985280e-03,2.136107446969549573e-01
2.807017543859649349e-03,2.145484187476199844e-01
3.208020050125313417e-03,2.154868236223397016e-01
3.609022556390977486e-03,2.164259601758546370e-01
4.010025062656641555e-03,2.173658292642388634e-01
4.411027568922305624e-03,2.183064317449022185e-01
4.812030075187970560e-03,2.192477684765933577e-01
5.213032581453634628e-03,2.201898403194020859e-01
5.614035087719298697e-03,2.211326481347619943e-01
6.015037593984962766e-03,2.220761927854533468e-01
6.416040100250626835e-03,2.230204751356054393e-01
6.817042606516290904e-03,2.239654960506991532e-01
7.218045112781954972e-03,2.249112563975699253e-01
7.619047619047619041e-03,2.258577570444102178e-01
8.020050125313283110e-03,2.268049988607721279e-01
8.421052631578947179e-03,2.277529827175701904e-01
8.822055137844611247e-03,2.287017094870839873e-01
9.223057644110275316e-03,2.296511800429606731e-01
9.624060150375941119e-03,2.306013952602179173e-01
1.002506265664160519e-02,2.315523560152463745e-01
1.042606516290726926e-02,2.325040631858124873e-01
1.082706766917293333e-02,2.334565176510612905e-01
1.122807017543859739e-02,2.344097202915189082e-01
1.162907268170426146e-02,2.353636719890952467e-01
1.203007518796992553e-02,2.363183736270870194e-01
1.243107769423558960e-02,2.372738260901800789e-01
1.283208020050125367e-02,2.382300302644525525e-01
1.323308270676691774e-02,2.391869870373772300e-01
1.363408521303258181e-02,2.401446972978245609e-01
1.403508771929824588e-02,2.411031619360651801e-01
1.443609022556390994e-02,2.420623818437728503e-01
1.483709273182957401e-02,2.430223579140271539e-01
1.523809523809523808e-02,2.439830910413163523e-01
1.563909774436090389e-02,2.449445821215399388e-01
1.604010025062656622e-02,2.459068320520117756e-01
1.644110275689223202e-02,2.468698417314624527e-01
1.684210526315789436e-02,2.478336120600424242e-01
1.724310776942356016e-02,2.487981439393247840e-01
1.764411027568922249e-02,2.497634382723078472e-01
1.804511278195488830e-02,2.507294959634181475e-01
1.844611528822055063e-02,2.516963179185134347e-01
1.884711779448621644e-02,2.526639050448849511e-01
1.924812030075188224e-02,2.536322582512609003e-01
1.964912280701754457e-02,2.546013784478088904e-01
2.005012531328321038e-02,2.555712665461389865e-01
2.045112781954887271e-02,2.565419234593063202e-01
2.085213032581453851e-02,2.575133501018144755e-01
2.125313283208020085e-02,2.584855473896175426e-01
2.165413533834586665e-02,2.594585162401238931e-01
2.205513784461152899e-02,2.604322575721983446e-01
2.245614035087719479e-02,2.614067723061654913e-01
2.285714285714285712e-02,2.623820613638123689e-01
2.325814536340852293e-02,2.633581256683916738e-01
2.365914786967418526e-02,2.643349661446240395e-01
2.406015037593985106e-02,2.653125837187017555e-01
2.446115288220551340e-02,2.662909793182911544e-01
2.486215538847117920e-02,2.672701538725357207e-01
2.526315789473684154e-02,2.682501083120589769e-01
2.566416040100250734e-02,2.692308435689675372e-01
2.606516290726817314e-02,2.702123605768539383e-01
2.646616541353383548e-02,2.711946602707996368e-01
2.686716791979950128e-02,2.721777435873780626e-01
2.726817042606516361e-02,2.731616114646575055e-01
2.766917293233082942e-02,2.741462648422041126e-01
2.807017543859649175e-02,2.751317046610849970e-01
2.847117794486215756e-02,2.761179318638708469e-01
2.887218045112781989e-02,2.771049473946395336e-01
2.927318295739348569e-02,2.780927521989786100e-01
2.967418546365914803e-02,2.790813472239886406e-01
3.007518796992481383e-02,2.800707334182860331e-01
3.047619047619047616e-02,2.810609117320062023e-01
3.087719298245614197e-02,2.820518831168065121e-01
3.127819548872180777e-02,2.830436485258693846e-01
3.167919799498746664e-02,2.840362089139054080e-01
3.208020050125313244e-02,2.850295652371562793e-01
3.248120300751879824e-02,2.860237184533978572e-01
3.288220551378446405e-02,2.870186695219436035e-01
3.328320802005012985e-02,2.880144194036469152e-01
3.368421052631578871e-02,2.890109690609050652e-01
3.408521303258145452e-02,2.900083194576619783e-01
3.448621553884712032e-02,2.910064715594107843e-01
3.488721804511278612e-02,2.920054263331979816e-01
3.528822055137844499e-02,2.930051847476257687e-01
3.568922305764411079e-02,2.940057477728553748e-01
3.609022556390977660e-02,2.950071163806103347e-01
3.649122807017544240e-02,2.960092915441794315e-01
3.689223057644110126e-02,2.970122742384200820e-01
3.729323308270676707e-02,2.980160654397613351e-01
3.769423558897243287e-02,2.990206661262070909e-01
3.809523809523809867e-02,3.000260772773390427e-01
3.849624060150376448e-02,3.010322998743206191e-01
3.889724310776942334e-02,3.020393348998989258e-01
3.929824561403508915e-02,3.030471833384092983e-01
3.969924812030075495e-02,3.040558461757775222e-01
4.010025062656642075e-02,3.050653243995234964e-01
4.050125313283207962e-02,3.060756189987642872e-01
4.090225563909774542e-02,3.070867309642174581e-01
4.130325814536341122e-02,3.080986612882043452e-01
4.170426065162907703e-02,3.091114109646531660e-01
4.210526315789473589e-02,3.101249809891023501e-01
4.250626566416040170e-02,3.111393723587037585e-01
4.290726817042606750e-02,3.121545860722261256e-01
4.330827067669173330e-02,3.131706231300580012e-01
4.370927318295739217e-02,3.141874845342114697e-01
4.411027568922305797e-02,3.152051712883249812e-01
4.451127819548872377e-02,3.162236843976670153e-01
4.491228070175438958e-02,3.172430248691391896e-01
4.531328320802005538e-02,3.182631937112798126e-01
4.571428571428571425e-02,3.192841919342667700e-01
4.611528822055138005e-02,3.203060205499212998e-01
4.651629072681704585e-02,3.213286805717111561e-01
4.691729323308271166e-02,3.223521730147539399e-01
4.731829573934837052e-02,3.233764988958205411e-01
4.771929824561403632e-02,3.244016592333383575e-01
4.812030075187970213e-02,3.254276550473949037e-01
4.852130325814536793e-02,3.264544873597409747e-01
4.892230576441102680e-02,3.274821571937940878e-01
4.932330827067669260e-02,3.285106655746419801e-01
4.972431077694235840e-02,3.295400135290458832e-01
5.012531328320802421e-02,3.305702020854440759e-01
5.052631578947368307e-02,3.316012322739552154e-01
5.092731829573934887e-02,3.326331051263817229e-01
5.132832080200501468e-02,3.336658216762133922e-01
5.172932330827068048e-02,3.346993829586309421e-01
5.213032581453634628e-02,3.357337900105087369e-01
5.253132832080200515e-02,3.367690438704192268e-01
5.293233082706767095e-02,3.378051455786360013e-01
5.333333333333333676e-02,3.388420961771370643e-01
5.373433583959900256e-02,3.398798967096086643e-01
5.413533834586466142e-02,3.409185482214485696e-01
5.453634085213032723e-02,3.419580517597697322e-01
5.493734335839599303e-02,3.429984083734037847e-01
5.533834586466165884e-02,3.440396191129044268e-01
5.573934837092731770e-02,3.450816850305509775e-01
5.614035087719298350e-02,3.461246071803524282e-01
5.654135338345864931e-02,3.471683866180499956e-01
5.694235588972431511e-02,3.482130244011217846e-01
5.734335839598997397e-02,3.492585215887853423e-01
5.774436090225563978e-02,3.503048792420021540e-01
5.814536340852130558e-02,3.513520984234805855e-01
5.854636591478697139e-02,3.524001801976797688e-01
5.894736842105263719e-02,3.534491256308132101e-01
5.934837092731829605e-02,3.544989357908520655e-01
5.974937343358396186e-02,3.555496117475295259e-01
6.015037593984962766e-02,3.566011545723434262e-01
6.055137844611529346e-02,3.576535653385607416e-01
6.095238095238095233e-02,3.587068451212208631e-01
6.135338345864661813e-02,3.597609949971394272e-01
6.175438596491228394e-02,3.608160160449116471e-01
6.215538847117794974e-02,3.618719093449164759e-01
6.255639097744361554e-02,3.629286759793197148e-01
6.295739348370928135e-02,3.639863170320782881e-01
6.335839598997493327e-02,3.650448335889435736e-01
6.375939849624059907e-02,3.661042267374655101e-01
6.416040100250626488e-02,3.671644975669957067e-01
6.456140350877193068e-02,3.682256471686916055e-01
6.496240601503759649e-02,3.692876766355203677e-01
6.536340852130326229e-02,3.703505870622619267e-01
6.576441102756892809e-02,3.714143795455138730e-01
6.616541353383459390e-02,3.724790551836938968e-01
6.656641604010025970e-02,3.735446150770448948e-01
6.696741854636591162e-02,3.746110603276374684e-01
6.736842105263157743e-02,3.756783920393749199e-01
6.776942355889724323e-02,3.767466113179962495e-01
6.817042606516290904e-02,3.778157192710800971e-01
6.857142857142857484e-02,3.788857170080491277e-01
6.897243107769424064e-02,3.799566056401730840e-01
6.937343358395990645e-02,3.810283862805731170e-01
6.977443609022557225e-02,3.821010600442253380e-01
7.017543859649122417e-02,3.831746280479653155e-01
7.057644110275688998e-02,3.842490914104911282e-01
7.097744360902255578e-02,3.853244512523677501e-01
7.137844611528822159e-02,3.864007086960307702e-01
7.177944862155388739e-02,3.874778648657904445e-01
7.218045112781955319e-02,3.885559208878354154e-01
7.258145363408521900e-02,3.896348778902367638e-01
7.298245614035088480e-02,3.907147370029519506e-01
7.338345864661655060e-02,3.917954993578288136e-01
7.378446115288220253e-02,3.928771660886092865e-01
7.418546365914786833e-02,3.939597383309336176e-01
7.458646616541353414e-02,3.950432172223442007e-01
7.498746867167919994e-02,3.961276039022894602e-01
7.538847117794486574e-02,3.972128995121283479e-01
7.578947368421053155e-02,3.982991051951335071e-01
7.619047619047619735e-02,3.993862220964962684e-01
7.659147869674186315e-02,4.004742513633298695e-01
7.699248120300752896e-02,4.015631941446737296e-01
7.739348370927318088e-02,4.026530515914977792e-01
7.779448621553884669e-02,4.037438248567060683e-01
7.819548872180451249e-02,4.048355150951413184e-01
7.859649122807017829e-02,4.059281234635884195e-01
7.899749373433584410e-02,4.070216511207793708e-01
7.939849624060150990e-02,4.081160992273960009e-01
7.979949874686717570e-02,4.092114689460757404e-01
8.020050125313284151e-02,4.103077614414142316e-01
8.060150375939849343e-02,4.114049778799707680e-01
8.100250626566415924e-02,4.125031194302712922e-01
8.140350877192982504e-02,4.136021872628133367e-01
8.180451127819549084e-02,4.147021825500696868e-01
8.220551378446115665e-02,4.158031064664929888e-01
8.260651629072682245e-02,4.169049601885194689e-01
8.300751879699248825e-02,4.180077448945734853e-01
8.340852130325815406e-02,4.191114617650717467e-01
8.380952380952381986e-02,4.202161119824270319e-01
8.421052631578947179e-02,4.213216967310530747e-01
8.461152882205513759e-02,4.224282171973682276e-01
8.501253132832080339e-02,4.235356745698001246e-01
8.541353383458646920e-02,4.246440700387896783e-01
8.581453634085213500e-02,4.257534047967955204e-01
8.621553884711780080e-02,4.268636800382982210e-01
8.661654135338346661e-02,4.279748969598042296e-01
8.701754385964913241e-02,4.290870567598509266e-01
8.741854636591478434e-02,4.302001606390101207e-01
8.781954887218045014e-02,4.313142097998931557e-01
8.822055137844611594e-02,4.324292054471543523e-01
8.862155388471178175e-02,4.335451487874964482e-01
8.902255639097744755e-02,4.346620410296735959e-01
8.942355889724311335e-02,4.357798833844970243e-01
8.982456140350877916e-02,4.368986770648385920e-01
9.022556390977444496e-02,4.380184232856355053e-01
9.062656641604011076e-02,4.391391232638945930e-01
9.102756892230576269e-02,4.402607782186969132e-01
9.142857142857142849e-02,4.413833893712019729e-01
9.182957393483709430e-02,4.425069579446519463e-01
9.223057644110276010e-02,4.436314851643768931e-01
9.263157894736842590e-02,4.447569722577980889e-01
9.303258145363409171e-02,4.458834204544337432e-01
9.343358395989975751e-02,4.470108309859023854e-01
9.383458646616542331e-02,4.481392050859283049e-01
9.423558897243107524e-02,4.492685439903446598e-01
9.463659147869674104e-02,4.503988489370998605e-01
9.503759398496240685e-02,4.515301211662605674e-01
9.543859649122807265e-02,4.526623619200169091e-01
9.583959899749373845e-02,4.537955724426870341e-01
9.624060150375940426e-02,4.549297539807211077e-01
9.664160401002507006e-02,4.560649077827069742e-01
9.704260651629073586e-02,4.572010350993732652e-01
9.744360902255640167e-02,4.583381371835955620e-01
9.784461152882205359e-02,4.594762152903997809e-01
9.824561403508771940e-02,4.606152706769673366e-01
9.864661654135338520e-02,4.617553046026398600e-01
9.904761904761905100e-02,4.628963183289233063e-01
9.944862155388471681e-02,4.640383131194932842e-01
9.984962406015038261e-02,4.651812902401992744e-01
1.002506265664160484e-01,4.663252509590693484e-01
1.006516290726817142e-01,4.674701965463152198e-01
1.010526315789473661e-01,4.686161282743362966e-01
1.014536340852130319e-01,4.697630474177248994e-01
1.018546365914786977e-01,4.709109552532712017e-01
1.022556390977443636e-01,4.720598530599669496e-01
1.026566416040100294e-01,4.732097421190115116e-01
1.030576441102756952e-01,4.743606237138155435e-01
1.034586466165413610e-01,4.755124991300067605e-01
1.038596491228070268e-01,4.766653696554335462e-01
1.042606516290726926e-01,4.778192365801707808e-01
1.046616541353383445e-01,4.789741011965242823e-01
1.050626566416040103e-01,4.801299647990354691e-01
1.054636591478696761e-01,4.812868286844866894e-01
1.058646616541353419e-01,4.824446941519050513e-01
1.062656641604010077e-01,4.836035625025687512e-01
1.066666666666666735e-01,4.847634350400104597e-01
1.070676691729323393e-01,4.859243130700234836e-01
1.074686716791980051e-01,4.870861979006658182e-01
1.078696741854636570e-01,4.882490908422652542e-01
1.082706766917293228e-01,4.894129932074247624e-01
1.086716791979949887e-01,4.905779063110265459e-01
1.090726817042606545e-01,4.917438314702378133e-01
1.094736842105263203e-01,4.929107700045152751e-01
1.098746867167919861e-01,4.940787232356106951e-01
1.102756892230576519e-01,4.952476924875747755e-01
1.106766917293233177e-01,4.964176790867634304e-01
1.110776942355889835e-01,4.975886843618417266e-01
1.114786967418546354e-01,4.987607096437899346e-01
1.118796992481203012e-01,4.999337562659076917e-01
1.122807017543859670e-01,5.011078255638194978e-01
1.126817042606516328e-01,5.022829188754794894e-01
1.130827067669172986e-01,5.034590375411773788e-01
1.134837092731829644e-01,5.046361829035420632e-01
1.138847117794486302e-01,5.058143563075481186e-01
1.142857142857142960e-01,5.069935591005202413e-01
1.146867167919799479e-01,5.081737926321382437e-01
1.150877192982456138e-01,5.093550582544429384e-01
1.154887218045112796e-01,5.105373573218405792e-01
1.158897243107769454e-01,5.117206911911083012e-01
1.162907268170426112e-01,5.129050612213992277e-01
1.166917293233082770e-01,5.140904687742480217e-01
1.170927318295739428e-01,5.152769152135756592e-01
1.174937343358396086e-01,5.164644019056945368e-01
1.178947368421052744e-01,5.176529302193147997e-01
1.182957393483709263e-01,5.188425015255480055e-01
1.186967418546365921e-01,5.200331171979136746e-01
1.190977443609022579e-01,5.212247786123438420e-01
1.194987468671679237e-01,5.224174871471889414e-01
1.198997493734335895e-01,5.236112441832222464e-01
1.203007518796992553e-01,5.248060511036466425e-01
1.207017543859649211e-01,5.260019092940980689e-01
1.211027568922305869e-01,5.271988201426527354e-01
1.215037593984962389e-01,5.283967850398308963e-01
1.219047619047619047e-01,5.295958053786036235e-01
1.223057644110275705e-01,5.307958825543972470e-01
1.227067669172932363e-01,5.319970179650993503e-01
1.231077694235589021e-01,5.331992130110634331e-01
1.235087719298245679e-01,5.344024690951152401e-01
1.239097744360902337e-01,5.356067876225578672e-01
