x,y
0.000000000000000000e+00,2.079999999999999905e-01
4.010025062656641772e-04,2.082487697623285339e-01
8.020050125313283543e-04,2.084977379575952416e-01
1.203007518796992640e-03,2.087469048233170088e-01
1.604010025062656709e-03,2.089962705973898160e-01
2.005012531328320777e-03,2.092458355180897844e-01
2.406015037593985280e-03,2.094955998240736472e-01
2.807017543859649349e-03,2.097455637543797491e-01
3.208020050125313417e-03,2.099957275484285180e-01
3.609022556390977486e-03,2.102460914460235752e-01
4.010025062656641555e-03,2.104966556873522077e-01
4.411027568922305624e-03,2.107474205129863942e-01
4.812030075187970560e-03,2.109983861638832503e-01
5.213032581453634628e-03,2.112495528813861101e-01
5.614035087719298697e-03,2.115009209072251650e-01
6.015037593984962766e-03,2.117524904835182686e-01
6.416040100250626835e-03,2.120042618527716305e-01
6.817042606516290904e-03,2.122562352578807043e-01
7.218045112781954972e-03,2.125084109421309375e-01
7.619047619047619041e-03,2.127607891491984926e-01
8.020050125313283110e-03,2.130133701231511911e-01
8.421052631578947179e-03,2.132661541084490964e-01
8.822055137844611247e-03,2.135191413499453461e-01
9.223057644110275316e-03,2.137723320928872073e-01
9.624060150375941119e-03,2.140257265829163813e-01
1.002506265664160519e-02,2.142793250660703364e-01
1.042606516290726926e-02,2.145331277887826127e-01
1.082706766917293333e-02,2.147871349978840438e-01
1.122807017543859739e-02,2.150413469406032008e-01
1.162907268170426146e-02,2.152957638645674743e-01
1.203007518796992553e-02,2.155503860178036302e-01
1.243107769423558960e-02,2.158052136487389749e-01
1.283208020050125367e-02,2.160602470062016334e-01
1.323308270676691774e-02,2.163154863394219363e-01
1.363408521303258181e-02,2.165709318980326981e-01
1.403508771929824588e-02,2.168265839320705490e-01
1.443609022556390994e-02,2.170824426919762407e-01
1.483709273182957401e-02,2.173385084285959501e-01
1.523809523809523808e-02,2.175947813931816133e-01
1.563909774436090389e-02,2.178512618373922294e-01
1.604010025062656622e-02,2.181079500132943050e-01
1.644110275689223202e-02,2.183648461733628809e-01
1.684210526315789436e-02,2.186219505704822819e-01
1.724310776942356016e-02,2.188792634579469487e-01
1.764411027568922249e-02,2.191367850894623825e-01
1.804511278195488830e-02,2.193945157191457829e-01
1.844611528822055063e-02,2.196524556015270468e-01
1.884711779448621644e-02,2.199106049915494632e-01
1.924812030075188224e-02,2.201689641445707946e-01
1.964912280701754457e-02,2.204275333163638051e-01
2.005012531328321038e-02,2.206863127631173982e-01
