x,y
0.000000000000000000e+00,2.079999999999999905e-01
4.010025062656641772e-04,2.095649187307853378e-01
8.020050125313283543e-04,2.111306438410270048e-01
1.203007518796992640e-03,2.126971759541588514e-01
1.604010025062656709e-03,2.142645156942573625e-01
2.005012531328320777e-03,2.158326636860427306e-01
2.406015037593985280e-03,2.174016205548796599e-01
2.807017543859649349e-03,2.189713869267780610e-01
3.208020050125313417e-03,2.205419634283941888e-01
3.609022556390977486e-03,2.221133506870310304e-01
4.010025062656641555e-03,2.236855493306395826e-01
4.411027568922305624e-03,2.252585599878194900e-01
4.812030075187970560e-03,2.268323832878197666e-01
5.213032581453634628e-03,2.284070198605397950e-01
5.614035087719298697e-03,2.299824703365301592e-01
6.015037593984962766e-03,2.315587353469933940e-01
6.416040100250626835e-03,2.331358155237850394e-01
6.817042606516290904e-03,2.347137114994141682e-01
7.218045112781954972e-03,2.362924239070444687e-01
7.619047619047619041e-03,2.378719533804950215e-01
8.020050125313283110e-03,2.394523005542410488e-01
8.421052631578947179e-03,2.410334660634150528e-01
8.822055137844611247e-03,2.426154505438072873e-01
9.223057644110275316e-03,2.441982546318669234e-01
9.624060150375941119e-03,2.457818789647027158e-01
1.002506265664160519e-02,2.473663241800839463e-01
1.042606516290726926e-02,2.489515909164411456e-01
1.082706766917293333e-02,2.505376798128672866e-01
1.122807017543859739e-02,2.521245915091181455e-01
1.162907268170426146e-02,2.537123266456136617e-01
1.203007518796992553e-02,2.553008858634384093e-01
1.243107769423558960e-02,2.568902698043427635e-01
1.283208020050125367e-02,2.584804791107434552e-01
1.323308270676691774e-02,2.600715144257246814e-01
1.363408521303258181e-02,2.616633763930389378e-01
1.403508771929824588e-02,2.632560656571076851e-01
1.443609022556390994e-02,2.648495828630225701e-01
1.483709273182957401e-02,2.664439286565460918e-01
1.523809523809523808e-02,2.680391036841122676e-01
1.563909774436090389e-02,2.696351085928279656e-01
1.604010025062656622e-02,2.712319440304732932e-01
1.644110275689223202e-02,2.728296106455030401e-01
1.684210526315789436e-02,2.744281090870469009e-01
1.724310776942356016e-02,2.760274400049108623e-01
1.764411027568922249e-02,2.776276040495779807e-01
1.804511278195488830e-02,2.792286018722089924e-01
1.844611528822055063e-02,2.808304341246434799e-01
1.884711779448621644e-02,2.824331014594007594e-01
1.924812030075188224e-02,2.840366045296806030e-01
1.964912280701754457e-02,2.856409439893641267e-01
2.005012531328321038e-02,2.872461204930149559e-01
2.045112781954887271e-02,2.888521346958796143e-01
2.085213032581453851e-02,2.904589872538890227e-01
2.125313283208020085e-02,2.920666788236589428e-01
2.165413533834586665e-02,2.936752100624910322e-01
2.205513784461152899e-02,2.952845816283736768e-01
2.245614035087719479e-02,2.968947941799830459e-01
2.285714285714285712e-02,2.985058483766837578e-01
2.325814536340852293e-02,3.001177448785299351e-01
2.365914786967418526e-02,3.017304843462660369e-01
2.406015037593985106e-02,3.033440674413279692e-01
2.446115288220551340e-02,3.049584948258436401e-01
2.486215538847117920e-02,3.065737671626341254e-01
2.526315789473684154e-02,3.081898851152143348e-01
2.566416040100250734e-02,3.098068493477943441e-01
2.606516290726817314e-02,3.114246605252797839e-01
