x,y
0.000000000000000000e+00,2.079999999999999905e-01
4.010025062656641772e-04,2.089289815815389972e-01
8.020050125313283543e-04,2.098607333345458292e-01
1.203007518796992640e-03,2.107952676682686155e-01
1.604010025062656709e-03,2.117325970661838586e-01
2.005012531328320777e-03,2.126727340865529337e-01
2.406015037593985280e-03,2.136156913629825571e-01
2.807017543859649349e-03,2.145614816049907780e-01
3.208020050125313417e-03,2.155101175985779105e-01
3.609022556390977486e-03,2.164616122068028781e-01
4.010025062656641555e-03,2.174159783703646098e-01
4.411027568922305624e-03,2.183732291081885157e-01
4.812030075187970560e-03,2.193333775180186240e-01
5.213032581453634628e-03,2.202964367770148257e-01
5.614035087719298697e-03,2.212624201423560588e-01
6.015037593984962766e-03,2.222313409518481275e-01
6.416040100250626835e-03,2.232032126245379611e-01
6.817042606516290904e-03,2.241780486613328127e-01
7.218045112781954972e-03,2.251558626456257595e-01
7.619047619047619041e-03,2.261366682439264197e-01
8.020050125313283110e-03,2.271204792064974998e-01
8.421052631578947179e-03,2.281073093679978347e-01
8.822055137844611247e-03,2.290971726481303705e-01
9.223057644110275316e-03,2.300900830522969731e-01
9.624060150375941119e-03,2.310860546722589004e-01
1.002506265664160519e-02,2.320851016868033523e-01
1.042606516290726926e-02,2.330872383624164879e-01
1.082706766917293333e-02,2.340924790539624378e-01
1.122807017543859739e-02,2.351008382053685897e-01
1.162907268170426146e-02,2.361123303503176452e-01
1.203007518796992553e-02,2.371269701129456731e-01
1.243107769423558960e-02,2.381447722085471008e-01
1.283208020050125367e-02,2.391657514442857846e-01
1.323308270676691774e-02,2.401899227199134901e-01
1.363408521303258181e-02,2.412173010284943409e-01
1.403508771929824588e-02,2.422479014571367606e-01
1.443609022556390994e-02,2.432817391877315494e-01
1.483709273182957401e-02,2.443188294976979813e-01
1.523809523809523808e-02,2.453591877607358696e-01
1.563909774436090389e-02,2.464028294475853198e-01
1.604010025062656622e-02,2.474497701267938943e-01
1.644110275689223202e-02,2.485000254654902707e-01
1.684210526315789436e-02,2.495536112301662557e-01
1.724310776942356016e-02,2.506105432874655148e-01
1.764411027568922249e-02,2.516708376049798801e-01
1.804511278195488830e-02,2.527345102520537901e-01
1.844611528822055063e-02,2.538015774005961123e-01
1.884711779448621644e-02,2.548720553258994603e-01
1.924812030075188224e-02,2.559459604074677541e-01
1.964912280701754457e-02,2.570233091298516070e-01
2.005012531328321038e-02,2.581041180834920956e-01
2.045112781954887271e-02,2.591884039655720784e-01
2.085213032581453851e-02,2.602761835808761193e-01
2.125313283208020085e-02,2.613674738426584598e-01
2.165413533834586665e-02,2.624622917735199845e-01
2.205513784461152899e-02,2.635606545062931794e-01
2.245614035087719479e-02,2.646625792849358061e-01
2.285714285714285712e-02,2.657680834654331248e-01
2.325814536340852293e-02,2.668771845167095536e-01
2.365914786967418526e-02,2.679899000215485438e-01
2.406015037593985106e-02,2.691062476775219481e-01
2.446115288220551340e-02,2.702262452979276586e-01
2.486215538847117920e-02,2.713499108127380155e-01
2.526315789473684154e-02,2.724772622695559865e-01
2.566416040100250734e-02,2.736083178345816158e-01
2.606516290726817314e-02,2.747430957935877993e-01
2.646616541353383548e-02,2.758816145529054409e-01
2.686716791979950128e-02,2.770238926404193225e-01
2.726817042606516361e-02,2.781699487065724119e-01
2.766917293233082942e-02,2.793198015253813282e-01
2.807017543859649175e-02,2.804734699954614663e-01
2.847117794486215756e-02,2.816309731410622796e-01
2.887218045112781989e-02,2.827923301131131106e-01
2.927318295739348569e-02,2.839575601902792901e-01
2.967418546365914803e-02,2.851266827800288395e-01
3.007518796992481383e-02,2.862997174197103312e-01
3.047619047619047616e-02,2.874766837776407957e-01
3.087719298245614197e-02,2.886576016542050649e-01
3.127819548872180777e-02,2.898424909829662166e-01
3.167919799498746664e-02,2.910313718317871778e-01
3.208020050125313244e-02,2.922242644039638182e-01
3.248120300751879824e-02,2.934211890393690347e-01
3.288220551378446405e-02,2.946221662156089383e-01
3.328320802005012985e-02,2.958272165491908079e-01
3.368421052631578871e-02,2.970363607967027031e-01
3.408521303258145452e-02,2.982496198560053990e-01
3.448621553884712032e-02,2.994670147674359240e-01
3.488721804511278612e-02,3.006885667150241415e-01
3.528822055137844499e-02,3.019142970277216009e-01
3.568922305764411079e-02,3.031442271806428779e-01
3.609022556390977660e-02,3.043783787963196263e-01
3.649122807017544240e-02,3.056167736459676210e-01
3.689223057644110126e-02,3.068594336507671771e-01
3.729323308270676707e-02,3.081063808831566719e-01
3.769423558897243287e-02,3.093576375681391100e-01
3.809523809523809867e-02,3.106132260846029003e-01
3.849624060150376448e-02,3.118731689666558449e-01
3.889724310776942334e-02,3.131374889049728938e-01
3.929824561403508915e-02,3.144062087481592216e-01
3.969924812030075495e-02,3.156793515041257381e-01
4.010025062656642075e-02,3.169569403414803643e-01
