x,y1,y2
2.730000000000000135e-02,2.144500000000000017e-01,2.164300000000000113e-01
3.858999999999999930e-02,2.149699999999999944e-01,2.418099999999999972e-01
5.593999999999999667e-02,2.554299999999999904e-01,2.958299999999999819e-01
6.779999999999999916e-02,2.839999999999999747e-01,3.537600000000000189e-01
8.601999999999999924e-02,2.585700000000000220e-01,4.545699999999999741e-01
9.847999999999999809e-02,3.761499999999999844e-01,6.634600000000000497e-01
1.111899999999999972e-01,4.568300000000000138e-01,6.915400000000000436e-01
1.176500000000000046e-01,4.338600000000000234e-01,7.291900000000000048e-01
1.307599999999999874e-01,4.645699999999999830e-01,nan
1.509399999999999908e-01,5.825200000000000378e-01,9.381399999999999739e-01
1.860499999999999932e-01,nan,nan
